ID_POJAZDU;ID_MARKI;ROK_PRODUKCJI
AO0001;m01;2001
AO0002;m11;1995
AO0003;m10;2005
AO0004;m17;2020
AO0005;m16;2017
AO0006;m09;1998
AO0007;m04;2016
AO0008;m03;1997
AO0009;m15;2013
AO0010;m09;2006
AO0011;m09;2012
AO0012;m14;2019
AO0013;m05;2018
AO0014;m15;2021
AO0015;m13;2022
AO0016;m14;2001
AO0017;m11;1996
AO0018;m06;2022
AO0019;m11;1996
AO0020;m09;2016
AO0021;m07;1997
AO0022;m01;2019
AO0023;m07;2021
AO0024;m16;2018
AO0025;m04;1998
AD0001;m04;2018
AD0002;m12;2014
AD0003;m11;2015
AD0004;m11;2021
AD0005;m03;2019
AD0006;m13;2014
AD0007;m13;2017
AD0008;m12;2010
AD0009;m11;2013
AD0010;m02;2017
AD0011;m07;2010
AD0012;m04;2018
AD0013;m13;2001
AD0014;m06;2015
AD0015;m10;1999
AD0016;m07;2014
AD0017;m04;2008
AD0018;m07;2018
AD0019;m05;2019
AD0020;m01;2017
AD0021;m10;2006
AD0022;m08;1996
AD0023;m09;1995
AD0024;m12;2010
AD0025;m02;2022
