ID_POJAZDU;ID_KOSZTU;KWOTA
AO0001;k1;12000
AO0001;k5;3900
AO0002;k1;4000
AO0002;k3;500
AO0002;k4;300
AO0003;k1;17000
AO0003;k2;2000
AO0003;k5;6000
AO0004;k1;2000
AO0005;k1;10000
AO0005;k4;2000
AO0005;k5;4000
AO0006;k1;26000
AO0007;k1;15000
AO0007;k3;2000
AO0007;k4;3000
AO0008;k1;2000
AO0009;k1;10000
AO0009;k3;350
AO0009;k4;800
AO0010;k1;1500
AO0011;k1;1300
AO0012;k1;27000
AO0012;k5;3000
AO0013;k1;7000
AO0013;k3;3000
AO0013;k4;1500
AO0013;k5;2500
AO0014;k1;21000
AO0014;k2;4000
AO0015;k1;29000
AO0016;k1;1900
AO0017;k1;1500
AO0018;k1;6000
AO0018;k2;1800
AO0018;k3;2100
AO0018;k4;1500
AO0018;k5;4500
AO0019;k1;4500
AO0019;k5;2500
AO0020;k1;18000
AO0020;k5;2000
AO0021;k1;2700
AO0022;k1;14000
AO0022;k3;1500
AO0022;k4;2500
AO0023;k1;23000
AO0023;k5;15000
AO0024;k1;19000
AO0024;k2;500
AO0024;k3;250
AO0024;k4;750
AO0025;k1;4000
AD0001;k1;19000
AD0001;k5;3000
AD0002;k1;24000
AD0002;k5;1000
AD0003;k1;21000
AD0003;k2;2000
AD0004;k1;10000
AD0005;k1;20000
AD0005;k5;2000
AD0006;k1;8000
AD0006;k2;6000
AD0007;k1;7000
AD0008;k1;21000
AD0008;k5;4000
AD0009;k1;15000
AD0010;k1;10000
AD0010;k2;3500
AD0010;k5;1500
AD0011;k1;2500
AD0012;k1;28000
AD0012;k2;2000
AD0013;k1;6800
AD0014;k1;18000
AD0014;k4;3500
AD0015;k1;8000
AD0016;k1;26000
AD0016;k4;2000
AD0016;k5;4000
AD0017;k1;8000
AD0017;k5;2000
AD0018;k1;16000
AD0019;k1;25000
AD0019;k2;3000
AD0020;k1;15000
AD0020;k5;2000
AD0021;k1;8000
AD0022;k1;7000
AD0023;k1;3000
AD0024;k1;21000
AD0024;k5;3500
AD0025;k1;5000
