lp.;data;nazwa produktu;kolor;rozmiar;cena
1;01.01.2022;ukulele koncertowe;lipa;15;379
2;02.01.2022;gitara klasyczna;bia造;39;1199
3;04.01.2022;gitara basowa;lipa;39;789
4;09.01.2022;gitara elektryczna;buk;30;1299
5;09.01.2022;gitara elektryczna;bia造;38;699
6;17.01.2022;gitara elektryczna;niebieski;34;480
7;24.01.2022;ukulele koncertowe;bia造;15;265
8;25.01.2022;ukulele sopranowe;niebieski;13;259
9;29.01.2022;gitara akustyczna;czerwony;39;955
10;30.01.2022;ukulele sopranowe;czerwony;13;169
11;31.01.2022;gitara klasyczna;niebieski;30;895
12;07.02.2022;gitara elektryczna;klon;30;399
13;07.02.2022;ukulele tenorowe;lipa;17;399
14;08.02.2022;ukulele basowe;buk;17;879
15;14.02.2022;ukulele tenorowe;klon;17;699
16;21.02.2022;gitara klasyczna;niebieski;39;1395
17;22.02.2022;ukulele koncertowe;bia造;15;679
18;22.02.2022;gitara elektroakustyczna;czarny;39;1699
19;22.02.2022;ukulele sopranowe;lipa;13;229
20;22.02.2022;ukulele basowe;r騜owy;17;879
21;22.02.2022;gitara klasyczna;lipa;39;360
22;22.02.2022;ukulele sopranowe;niebieski;13;169
23;22.02.2022;gitara akustyczna;czerwony;34;260
24;23.02.2022;ukulele koncertowe;niebieski;15;1379
25;23.02.2022;ukulele basowe;czarny;17;879
26;23.02.2022;gitara elektryczna;niebieski;34;699
27;23.02.2022;ukulele tenorowe;czerwony;17;399
28;27.02.2022;gitara akustyczna;klon;39;1599
29;27.02.2022;gitara klasyczna;lipa;39;499
30;28.02.2022;gitara akustyczna;czarny;39;1129
31;01.03.2022;ukulele tenorowe;czerwony;17;399
32;06.03.2022;gitara akustyczna;r騜owy;38;955
33;07.03.2022;ukulele basowe;lipa;17;1499
34;07.03.2022;ukulele sopranowe;buk;13;169
35;07.03.2022;ukulele basowe;lipa;17;1499
36;08.03.2022;ukulele basowe;niebieski;17;1199
37;14.03.2022;gitara klasyczna;niebieski;39;795
38;14.03.2022;ukulele sopranowe;lipa;13;229
39;14.03.2022;gitara klasyczna;bia造;30;399
40;14.03.2022;ukulele sopranowe;czerwony;13;259
41;15.03.2022;ukulele sopranowe;lipa;13;229
42;16.03.2022;ukulele basowe;klon;17;1499
43;16.03.2022;ukulele basowe;niebieski;17;1499
44;16.03.2022;gitara akustyczna;czarny;39;465
45;16.03.2022;gitara akustyczna;r騜owy;39;465
46;20.03.2022;ukulele tenorowe;czerwony;17;399
47;20.03.2022;gitara elektryczna;buk;34;699
48;20.03.2022;gitara elektroakustyczna;niebieski;39;1499
49;21.03.2022;ukulele koncertowe;klon;15;379
50;21.03.2022;ukulele koncertowe;czarny;15;679
51;21.03.2022;ukulele koncertowe;lipa;15;379
52;23.03.2022;ukulele tenorowe;czerwony;17;699
53;27.03.2022;gitara elektryczna;bia造;38;899
54;27.03.2022;ukulele basowe;buk;17;1199
55;27.03.2022;gitara elektryczna;klon;39;499
56;27.03.2022;gitara elektryczna;klon;39;699
57;28.03.2022;ukulele sopranowe;niebieski;13;229
58;28.03.2022;gitara akustyczna;lipa;38;649
59;28.03.2022;ukulele tenorowe;czerwony;17;699
60;28.03.2022;gitara akustyczna;bia造;38;1400
61;28.03.2022;ukulele sopranowe;czerwony;13;169
62;03.04.2022;gitara akustyczna;lipa;39;1129
63;03.04.2022;ukulele basowe;czerwony;17;879
64;03.04.2022;ukulele basowe;klon;17;879
65;03.04.2022;gitara elektryczna;niebieski;39;899
66;03.04.2022;gitara elektryczna;niebieski;39;1199
67;03.04.2022;ukulele sopranowe;niebieski;13;169
68;04.04.2022;ukulele sopranowe;bia造;13;229
69;04.04.2022;gitara elektryczna;czerwony;39;899
70;04.04.2022;ukulele sopranowe;czerwony;13;229
71;04.04.2022;gitara elektryczna;jesion;34;480
72;04.04.2022;ukulele tenorowe;czarny;17;1853
73;04.04.2022;ukulele tenorowe;bia造;17;1853
74;05.04.2022;ukulele sopranowe;niebieski;13;259
75;05.04.2022;gitara akustyczna;niebieski;38;499
76;05.04.2022;ukulele sopranowe;buk;13;259
77;11.04.2022;ukulele basowe;buk;17;1199
